id_blob,id_person,id_website,id_question,spray_number,lat,lng,time_blob,zoom
34597609,124538,1448,23278,1,44.03676986694336,-123.0838394165039,1776809270346,15
34597610,124538,1448,23278,1,44.037086486816406,-123.08373260498047,1776809270394,15
34597611,124550,1448,23278,1,44.0463752746582,-123.05195617675781,1776809270048,12
34597612,124547,1448,23278,1,44.051727294921875,-123.09029388427734,1776809270566,15
34597613,124547,1448,23278,1,44.05175018310547,-123.0904312133789,1776809270579,15
34597614,124550,1448,23278,1,44.04769515991211,-123.05073547363281,1776809270060,12
34597615,124538,1448,23278,1,44.03692626953125,-123.08355712890625,1776809270407,15
34597616,124547,1448,23278,1,44.05143737792969,-123.08970642089844,1776809270592,15
34597617,124550,1448,23278,1,44.048301696777344,-123.0484390258789,1776809270072,12
34597618,124548,1448,23278,1,44.07268142700195,-123.08042907714844,1776809269688,13
34597619,124537,1448,23278,1,44.04508972167969,-123.08064270019531,1776809259731,14
34597620,124537,1448,23278,1,44.044559478759766,-123.08039093017578,1776809259747,14
34597621,124548,1448,23278,1,44.07218551635742,-123.08154296875,1776809269701,13
34597622,124537,1448,23278,1,44.04447937011719,-123.08055114746094,1776809259760,14
34597623,124537,1448,23278,1,44.044342041015625,-123.08053588867188,1776809259773,14
34597624,124537,1448,23278,1,44.044273376464844,-123.08055877685547,1776809259785,14
34602490,124537,1448,23278,1,44.041255950927734,-123.09522247314453,1776809267886,14
34597626,124536,1448,23278,1,44.07842254638672,-123.0478515625,1776809253267,13
34597627,124536,1448,23278,1,44.07848358154297,-123.04903411865234,1776809253280,13
34597628,124536,1448,23278,1,44.0786247253418,-123.0477523803711,1776809253296,13
34597629,124536,1448,23278,1,44.078948974609375,-123.04985809326172,1776809253337,13
34597630,124536,1448,23278,1,44.080169677734375,-123.04955291748047,1776809253324,13
34602489,124537,1448,23278,1,44.04142379760742,-123.09656524658203,1776809267853,14
34597632,124538,1448,23278,1,44.036888122558594,-123.08330535888672,1776809270427,15
34597633,124541,1448,23278,1,44.04943084716797,-123.1039047241211,1776809267742,15
34597634,124537,1448,23278,1,44.044219970703125,-123.0806884765625,1776809259798,14
34599378,124551,1448,23279,1,44.018638610839844,-123.12164306640625,1776809276065,10
34602488,124537,1448,23278,1,44.04103469848633,-123.09596252441406,1776809267873,14
34599377,124538,1448,23278,1,44.04003143310547,-123.08946228027344,1776809275400,15
34602487,124548,1448,23278,1,44.0457649230957,-123.10114288330078,1776809278400,13
34607242,124540,1448,23279,1,44.054115295410156,-123.10781860351562,1776809297529,14
34599374,124548,1448,23278,1,44.06494903564453,-123.10428619384766,1776809272257,13
34602486,124548,1448,23278,1,44.04484558105469,-123.09969329833984,1776809278386,13
34597642,124541,1448,23278,1,44.04924392700195,-123.1029052734375,1776809267775,15
34597643,124541,1448,23278,1,44.049224853515625,-123.1033706665039,1776809267758,15
34599373,124548,1448,23278,1,44.06425476074219,-123.10513305664062,1776809272269,13
34597645,124548,1448,23278,1,44.07274627685547,-123.08122253417969,1776809269713,13
34597646,124538,1448,23278,1,44.03715896606445,-123.08336639404297,1776809270444,15
34597647,124548,1448,23278,1,44.0730094909668,-123.08113861083984,1776809269726,13
34602485,124548,1448,23278,1,44.04490280151367,-123.09864807128906,1776809278374,13
34597649,124550,1448,23278,1,44.04887390136719,-123.05473327636719,1776809270084,12
34597650,124548,1448,23278,1,44.07341384887695,-123.08135986328125,1776809269738,13
34597651,124548,1448,23278,1,44.072872161865234,-123.08159637451172,1776809269751,13
34597652,124547,1448,23278,1,44.05134963989258,-123.08887481689453,1776809270604,15
34597653,124541,1448,23278,1,44.04890060424805,-123.10247802734375,1776809267792,15
34597654,124547,1448,23278,1,44.051612854003906,-123.08900451660156,1776809270617,15
34597655,124550,1448,23278,1,44.04740905761719,-123.05167388916016,1776809270097,12
34602484,124548,1448,23278,1,44.04446029663086,-123.10121154785156,1776809278362,13
34597657,124541,1448,23278,1,44.0494384765625,-123.10253143310547,1776809267808,15
34597658,124550,1448,23278,1,44.04648208618164,-123.04853820800781,1776809270109,12
34597659,124541,1448,23278,1,44.04926300048828,-123.10211181640625,1776809267824,15
34597660,124547,1448,23278,1,44.05146789550781,-123.08807373046875,1776809270630,15
34597661,124538,1448,23278,1,44.037010192871094,-123.08369445800781,1776809270464,15
34597662,124538,1448,23278,1,44.0371208190918,-123.08389282226562,1776809270491,15
34597663,124538,1448,23278,1,44.03715133666992,-123.08362579345703,1776809270512,15
34597664,124550,1448,23278,1,44.045780181884766,-123.05229187011719,1776809270121,12
34597665,124547,1448,23278,1,44.05155563354492,-123.08735656738281,1776809270642,15
34597666,124547,1448,23278,1,44.05139923095703,-123.08660888671875,1776809270654,15
34597667,124550,1448,23278,1,44.04767608642578,-123.05165100097656,1776809270134,12
34597668,124547,1448,23278,1,44.051578521728516,-123.08696746826172,1776809270667,15
34597669,124538,1448,23278,1,44.037357330322266,-123.08372497558594,1776809270538,15
